,date,cancelledOn,createdOn
54,2019-08-17,2019-08-10,2019-07-24
55,2019-08-17,2019-08-10,2019-07-30
56,2019-08-17,2019-08-10,2019-08-05
57,2019-08-17,2019-08-09,2019-08-06
58,2019-08-18,2019-08-09,2019-08-06
59,2019-08-17,2019-08-10,2019-08-07
60,2019-08-17,2019-08-13,2019-08-01
61,2019-08-18,2019-08-17,2018-09-09
62,2019-08-19,2019-08-17,2018-09-09
63,2019-08-20,2019-08-17,2018-09-09
64,2019-08-21,2019-08-17,2018-09-09
65,2019-08-22,2019-08-17,2018-09-09
66,2019-08-23,2019-08-17,2018-09-09
67,2019-08-19,2019-08-11,2019-07-23
68,2019-08-20,2019-08-11,2019-07-23
69,2019-08-21,2019-08-11,2019-07-23
70,2019-08-22,2019-08-11,2019-07-23
71,2019-08-20,2019-08-11,2019-08-01
72,2019-08-21,2019-08-11,2019-08-01
73,2019-08-22,2019-08-11,2019-08-01
74,2019-08-23,2019-08-11,2019-08-01
75,2019-08-20,2019-08-19,2019-08-06
76,2019-08-20,2019-08-18,2019-06-03
77,2019-08-21,2019-08-18,2019-06-03
78,2019-08-20,2019-08-18,2019-06-03
79,2019-08-21,2019-08-18,2019-06-03
80,2019-08-20,2019-08-18,2019-06-03
81,2019-08-21,2019-08-18,2019-06-03
82,2019-08-20,2019-08-18,2019-06-03
83,2019-08-21,2019-08-18,2019-06-03
84,2019-08-20,2019-08-18,2019-06-03
85,2019-08-21,2019-08-18,2019-06-03
86,2019-08-20,2019-08-18,2019-06-03
87,2019-08-21,2019-08-18,2019-06-03
88,2019-08-20,2019-08-18,2019-06-03
89,2019-08-21,2019-08-18,2019-06-03
90,2019-08-20,2019-08-18,2019-06-03
91,2019-08-21,2019-08-18,2019-06-03
92,2019-08-20,2019-08-18,2019-06-03
93,2019-08-21,2019-08-18,2019-06-03
94,2019-08-23,2019-08-11,2019-07-30
95,2019-08-23,2019-08-18,2019-03-09
96,2019-08-24,2019-08-18,2019-03-09
97,2019-08-23,2019-08-23,2019-07-11
98,2019-08-24,2019-08-23,2019-07-11
99,2019-08-24,2019-08-11,2019-07-28
100,2019-08-25,2019-08-11,2019-07-28
101,2019-08-26,2019-08-11,2019-07-28
102,2019-08-24,2019-08-11,2019-07-29
103,2019-08-25,2019-08-11,2019-07-29
104,2019-08-26,2019-08-11,2019-07-29
105,2019-08-24,2019-08-11,2019-07-29
106,2019-08-25,2019-08-11,2019-07-29
107,2019-08-26,2019-08-11,2019-07-29
108,2019-08-24,2019-08-21,2018-05-09
109,2019-08-25,2019-08-21,2018-05-09
110,2019-08-26,2019-08-21,2018-05-09
111,2019-08-27,2019-08-21,2018-05-09
112,2019-08-28,2019-08-21,2018-05-09
113,2019-08-29,2019-08-21,2018-05-09
114,2019-08-30,2019-08-21,2018-05-09
115,2019-08-26,2019-08-09,2019-08-06
116,2019-08-27,2019-08-09,2019-08-06
117,2019-08-28,2019-08-09,2019-08-06
118,2019-08-28,2019-08-16,2019-08-11
119,2019-08-29,2019-08-16,2019-08-11
120,2019-08-30,2019-08-16,2019-08-11
121,2019-08-31,2019-08-16,2019-08-11
122,2019-08-28,2019-08-27,2019-08-19
123,2019-08-28,2019-08-27,2019-08-19
124,2019-08-29,2019-08-19,2019-07-18
125,2019-09-01,2019-08-13,2019-08-06
126,2019-09-02,2019-08-13,2019-08-06
127,2019-09-01,2019-08-25,2019-08-18
128,2019-09-02,2019-08-28,2019-08-21
129,2019-09-02,2019-08-28,2019-08-21
130,2019-09-02,2019-08-28,2019-08-21
131,2019-09-03,2019-08-12,2019-07-07
132,2019-09-04,2019-08-12,2019-07-07
133,2019-09-04,2019-08-29,2019-08-18
134,2019-09-06,2019-08-17,2019-05-04
135,2019-09-07,2019-08-17,2019-05-04
136,2019-09-06,2019-08-18,2019-07-30
137,2019-09-07,2019-08-18,2019-07-30
138,2019-09-06,2019-09-04,2019-08-11
139,2019-09-07,2019-09-04,2019-08-11
140,2019-09-06,2019-08-16,2019-08-14
141,2019-09-07,2019-08-16,2019-08-14
142,2019-09-08,2019-08-16,2019-08-14
143,2019-09-06,2019-08-21,2019-07-30
144,2019-09-07,2019-08-21,2019-07-30
145,2019-09-06,2019-08-29,2019-01-04
146,2019-09-07,2019-08-29,2019-01-04
147,2019-09-08,2019-08-29,2019-01-04
148,2019-09-06,2018-12-31,2018-12-01
149,2019-09-07,2018-12-31,2018-12-01
150,2019-09-08,2018-12-31,2018-12-01
151,2019-09-07,2019-09-05,2019-04-28
152,2019-09-07,2019-09-01,2019-02-20
153,2019-09-07,2019-09-01,2019-02-20
154,2019-09-07,2019-09-01,2019-02-20
155,2019-09-07,2019-09-03,2019-08-04
156,2019-09-09,2019-08-15,2019-06-26
157,2019-09-10,2019-08-15,2019-06-26
158,2019-09-11,2019-08-15,2019-06-26
159,2019-09-10,2019-08-15,2019-07-01
160,2019-09-10,2019-08-15,2019-07-01
161,2019-09-10,2019-08-15,2019-07-01
162,2019-09-10,2019-08-15,2019-07-01
163,2019-09-10,2019-08-15,2019-07-01
164,2019-09-10,2019-08-15,2019-07-01
165,2019-09-10,2019-08-15,2019-07-01
166,2019-09-10,2019-08-15,2019-07-01
167,2019-09-10,2019-08-15,2019-07-01
168,2019-09-10,2019-08-15,2019-07-01
169,2019-09-10,2019-08-15,2019-07-01
170,2019-09-10,2019-08-15,2019-07-01
171,2019-09-10,2019-08-15,2019-07-01
172,2019-09-10,2019-08-15,2019-07-01
173,2019-09-10,2019-08-15,2019-07-01
174,2019-09-10,2019-08-15,2019-07-01
175,2019-09-10,2019-08-15,2019-07-01
176,2019-09-10,2019-08-15,2019-07-01
177,2019-09-10,2019-08-15,2019-07-01
178,2019-09-10,2019-08-15,2019-07-01
179,2019-09-10,2019-08-15,2019-07-01
180,2019-09-10,2019-08-15,2019-07-01
181,2019-09-10,2019-08-15,2019-07-01
182,2019-09-10,2019-08-15,2019-07-01
183,2019-09-10,2019-08-15,2019-07-01
184,2019-09-10,2019-08-15,2019-07-01
185,2019-09-10,2019-08-15,2019-07-01
186,2019-09-10,2019-08-15,2019-07-01
187,2019-09-10,2019-08-15,2019-07-01
188,2019-09-10,2019-08-15,2019-07-01
189,2019-09-10,2019-08-15,2019-07-01
190,2019-09-10,2019-08-15,2019-07-01
191,2019-09-10,2019-08-15,2019-07-01
192,2019-09-10,2019-08-15,2019-07-01
193,2019-09-10,2019-08-15,2019-07-01
194,2019-09-13,2019-08-10,2019-01-04
195,2019-09-14,2019-08-10,2019-01-04
196,2019-09-13,2019-08-10,2019-01-04
197,2019-09-14,2019-08-10,2019-01-04
198,2019-09-13,2019-09-12,2019-08-06
199,2019-09-14,2019-09-13,2019-04-04
200,2019-09-14,2019-09-10,2019-09-09
201,2019-09-15,2019-08-26,2019-08-19
202,2019-09-15,2019-08-26,2019-08-19
203,2019-09-15,2019-08-26,2019-08-19
204,2019-09-17,2019-09-10,2019-09-02
205,2019-09-17,2019-09-10,2019-09-02
206,2019-09-18,2019-09-18,2018-09-15
207,2019-09-19,2019-09-18,2018-09-15
208,2019-09-18,2019-09-18,2018-09-15
209,2019-09-19,2019-09-18,2018-09-15
210,2019-09-20,2019-09-09,2018-09-24
211,2019-09-21,2019-09-09,2018-09-24
212,2019-09-20,2019-09-09,2018-12-28
213,2019-09-21,2019-09-09,2018-12-28
214,2019-09-20,2019-09-09,2019-01-20
215,2019-09-21,2019-09-09,2019-01-20
216,2019-09-21,2019-09-19,2019-09-18
217,2019-09-21,2019-09-19,2019-09-18
218,2019-09-21,2019-09-19,2019-09-18
219,2019-09-22,2019-09-11,2019-08-18
220,2019-09-23,2019-09-11,2019-08-18
221,2019-09-23,2019-09-19,2019-09-12
222,2019-09-24,2019-09-19,2019-09-12
223,2019-09-23,2019-09-21,2019-08-04
224,2019-09-24,2019-09-21,2019-08-04
225,2019-09-23,2019-09-22,2019-09-19
226,2019-09-25,2019-09-23,2019-08-14
227,2019-09-25,2019-09-23,2019-08-14
228,2019-09-25,2019-09-23,2019-08-14
229,2019-09-27,2019-08-29,2019-06-30
230,2019-09-27,2019-08-29,2019-06-30
231,2019-09-27,2019-09-17,2019-09-15
232,2019-09-27,2019-09-21,2019-09-18
233,2019-09-28,2019-09-21,2019-09-18
234,2019-09-27,2019-09-21,2019-09-18
235,2019-09-28,2019-09-21,2019-09-18
236,2019-09-27,2019-09-21,2019-09-18
237,2019-09-28,2019-09-21,2019-09-18
238,2019-09-28,2019-09-27,2019-09-26
239,2019-09-28,2019-09-28,2019-07-28
240,2019-09-28,2019-09-28,2019-07-28
241,2019-09-29,2019-09-26,2019-09-17
242,2019-09-29,2019-09-26,2019-09-17
243,2019-10-01,2019-09-25,2019-09-17
244,2019-10-01,2019-09-25,2019-09-17
245,2019-10-02,2019-08-26,2019-07-23
246,2019-10-03,2019-08-26,2019-07-23
247,2019-10-02,2019-08-26,2019-07-23
248,2019-10-03,2019-08-26,2019-07-23
249,2019-10-02,2019-08-26,2019-07-23
250,2019-10-03,2019-08-26,2019-07-23
251,2019-10-02,2019-08-26,2019-07-23
252,2019-10-03,2019-08-26,2019-07-23
253,2019-10-02,2019-08-26,2019-07-23
254,2019-10-03,2019-08-26,2019-07-23
255,2019-10-02,2019-08-26,2019-07-23
256,2019-10-03,2019-08-26,2019-07-23
257,2019-10-02,2019-08-26,2019-07-23
258,2019-10-03,2019-08-26,2019-07-23
259,2019-10-02,2019-08-26,2019-07-23
260,2019-10-03,2019-08-26,2019-07-23
261,2019-10-02,2019-08-26,2019-07-23
262,2019-10-03,2019-08-26,2019-07-23
263,2019-10-02,2019-08-26,2019-07-23
264,2019-10-03,2019-08-26,2019-07-23
265,2019-10-02,2019-08-26,2019-07-23
266,2019-10-03,2019-08-26,2019-07-23
267,2019-10-03,2019-09-21,2019-09-15
268,2019-10-03,2019-09-23,2019-09-19
269,2019-10-04,2019-10-01,2019-06-20
270,2019-10-05,2019-10-01,2019-06-20
271,2019-10-06,2019-10-01,2019-06-20
272,2019-10-05,2019-10-03,2019-07-10
273,2019-10-05,2019-09-08,2019-09-05
274,2019-10-05,2019-09-08,2019-09-05
275,2019-10-05,2019-09-08,2019-09-05
276,2019-10-05,2019-09-08,2019-09-05
277,2019-10-05,2019-10-01,2019-09-29
278,2019-10-06,2019-10-01,2019-06-20
279,2019-10-06,2019-10-01,2019-06-20
280,2019-10-06,2019-10-01,2019-06-20
281,2019-10-06,2019-10-01,2019-06-20
282,2019-10-06,2019-10-01,2019-06-20
283,2019-10-08,2019-10-06,2019-08-19
284,2019-10-08,2019-10-06,2019-08-19
285,2019-10-08,2019-10-06,2019-08-19
286,2019-10-08,2019-10-06,2019-08-19
287,2019-10-08,2019-10-06,2019-08-19
288,2019-10-08,2019-10-06,2019-09-30
289,2019-10-08,2019-10-03,2019-09-30
290,2019-10-09,2019-10-06,2019-09-24
291,2019-10-09,2019-10-09,2019-10-08
292,2019-10-10,2019-10-10,2019-10-08
293,2019-10-11,2019-10-11,2019-08-18
294,2019-10-17,2019-09-13,2019-07-26
295,2019-10-18,2019-09-13,2019-07-26
296,2019-10-19,2019-09-13,2019-07-26
297,2019-10-17,2019-10-10,2019-09-19
298,2019-10-17,2019-10-15,2019-10-14
299,2019-10-19,2019-09-30,2019-09-24
300,2019-10-20,2019-09-30,2019-09-24
301,2019-10-21,2019-09-30,2019-09-24
302,2019-10-22,2019-09-30,2019-09-24
303,2019-10-23,2019-09-30,2019-09-24
304,2019-10-24,2019-09-30,2019-09-24
305,2019-10-25,2019-09-30,2019-09-24
306,2019-10-19,2019-10-06,2019-09-30
307,2019-10-20,2019-10-06,2019-09-30
308,2019-10-19,2019-10-06,2019-09-30
309,2019-10-20,2019-10-06,2019-09-30
310,2019-10-19,2019-10-18,2019-10-16
311,2019-10-21,2019-10-19,2019-10-07
312,2019-10-22,2019-10-19,2019-10-07
313,2019-10-23,2019-10-19,2019-10-07
314,2019-10-24,2019-10-19,2019-10-07
315,2019-10-25,2019-10-19,2019-10-07
316,2019-10-26,2019-10-19,2019-10-07
317,2019-10-27,2019-10-19,2019-10-07
318,2019-10-28,2019-10-19,2019-10-07
319,2019-10-22,2019-10-09,2019-10-01
320,2019-10-23,2019-10-09,2019-10-01
321,2019-10-24,2019-10-09,2019-10-01
322,2019-10-25,2019-10-09,2019-10-01
323,2019-10-23,2019-10-21,2019-10-14
324,2019-10-24,2019-10-24,2019-10-03
325,2019-10-24,2019-10-17,2019-10-03
326,2019-10-24,2019-10-17,2019-10-03
327,2019-10-24,2019-10-17,2019-10-03
328,2019-10-24,2019-10-17,2019-10-03
329,2019-10-24,2019-10-17,2019-10-03
330,2019-10-25,2019-10-15,2019-10-09
331,2019-10-26,2019-10-25,2019-09-26
332,2019-10-27,2019-10-25,2019-09-26
333,2019-10-28,2019-10-25,2019-09-26
334,2019-10-29,2019-10-25,2019-09-26
335,2019-10-26,2019-10-25,2019-10-21
336,2019-10-27,2019-10-26,2019-08-11
337,2019-10-28,2019-10-20,2019-10-09
338,2019-10-28,2019-10-28,2019-10-18
339,2019-10-28,2019-10-27,2019-10-26
340,2019-10-29,2019-10-27,2019-10-26
341,2019-10-30,2019-10-27,2019-10-26
342,2019-10-31,2019-10-27,2019-10-26
343,2019-11-01,2019-10-27,2019-10-26
344,2019-11-02,2019-10-27,2019-10-26
345,2019-10-29,2019-10-01,2019-09-25
346,2019-10-29,2019-10-26,2019-10-22
347,2019-10-30,2019-10-26,2019-10-22
348,2019-10-31,2019-10-26,2019-10-22
349,2019-11-01,2019-10-26,2019-10-22
350,2019-10-29,2019-10-26,2019-10-22
351,2019-10-30,2019-10-26,2019-10-22
352,2019-10-31,2019-10-26,2019-10-22
353,2019-11-01,2019-10-26,2019-10-22
354,2019-10-29,2019-10-26,2019-10-22
355,2019-10-30,2019-10-26,2019-10-22
356,2019-10-31,2019-10-26,2019-10-22
357,2019-11-01,2019-10-26,2019-10-22
358,2019-10-29,2019-10-26,2019-10-22
359,2019-10-30,2019-10-26,2019-10-22
360,2019-10-31,2019-10-26,2019-10-22
361,2019-11-01,2019-10-26,2019-10-22
362,2019-10-29,2019-10-29,2019-10-22
363,2019-10-29,2019-10-29,2019-10-22
364,2019-10-30,2019-10-26,2019-10-17
365,2019-10-30,2019-10-26,2019-10-17
366,2019-10-30,2019-10-26,2019-10-17
367,2019-10-30,2019-10-30,2019-10-29
368,2019-10-31,2019-09-29,2019-08-12
369,2019-11-01,2019-09-29,2019-08-12
370,2019-11-02,2019-09-29,2019-08-12
371,2019-10-31,2019-10-06,2019-09-27
372,2019-11-01,2019-10-06,2019-09-27
373,2019-11-02,2019-10-06,2019-09-27
374,2019-10-31,2019-10-25,2019-10-23
375,2019-11-01,2019-10-25,2019-10-23
376,2019-11-02,2019-10-25,2019-10-23
377,2019-10-31,2019-10-28,2019-10-25
378,2019-11-01,2019-10-28,2019-10-25
379,2019-11-01,2019-10-25,2019-10-19
380,2019-11-02,2019-10-25,2019-10-19
381,2019-11-01,2019-10-25,2019-10-19
382,2019-11-02,2019-10-25,2019-10-19
383,2019-11-01,2019-10-30,2019-10-28
384,2019-11-02,2019-10-30,2019-10-28
385,2019-11-03,2019-10-30,2019-10-28
386,2019-11-01,2019-10-30,2019-10-28
387,2019-11-02,2019-10-30,2019-10-28
388,2019-11-03,2019-10-30,2019-10-28
389,2019-11-02,2019-11-01,2019-10-08
390,2019-11-02,2019-11-02,2019-10-30
391,2019-11-03,2019-11-03,2019-10-30
392,2019-11-05,2019-11-04,2019-11-03
393,2019-11-06,2019-11-04,2019-11-03
394,2019-11-07,2019-10-14,2019-09-03
395,2019-11-07,2019-10-14,2019-09-03
396,2019-11-07,2019-10-14,2019-09-03
397,2019-11-07,2019-10-14,2019-09-03
398,2019-11-08,2019-10-19,2019-10-12
399,2019-11-09,2019-10-19,2019-10-12
400,2019-11-10,2019-10-19,2019-10-12
401,2019-11-08,2019-10-21,2019-10-17
402,2019-11-08,2019-11-06,2019-08-27
403,2019-11-08,2019-11-06,2019-08-27
404,2019-11-08,2019-11-06,2019-08-27
405,2019-11-08,2019-11-06,2019-08-27
406,2019-11-08,2019-11-06,2019-08-27
407,2019-11-08,2019-11-06,2019-08-27
408,2019-11-08,2019-11-06,2019-08-27
409,2019-11-08,2019-11-06,2019-08-27
410,2019-11-08,2019-11-06,2019-08-27
411,2019-11-08,2019-11-06,2019-08-27
412,2019-11-08,2019-11-06,2019-08-27
413,2019-11-08,2019-11-06,2019-08-27
414,2019-11-09,2019-11-04,2019-10-11
415,2019-11-10,2019-11-04,2019-10-11
416,2019-11-11,2019-11-04,2019-10-11
417,2019-11-12,2019-11-04,2019-10-11
418,2019-11-09,2019-11-06,2019-11-04
419,2019-11-10,2019-11-06,2019-11-04
420,2019-11-11,2019-11-06,2019-11-04
421,2019-11-12,2019-11-06,2019-11-04
422,2019-11-13,2019-11-06,2019-11-04
423,2019-11-14,2019-11-06,2019-11-04
424,2019-11-15,2019-11-06,2019-11-04
425,2019-11-09,2019-11-08,2019-10-06
426,2019-11-09,2019-11-09,2019-11-07
427,2019-11-10,2019-11-09,2019-11-07
428,2019-11-11,2019-11-09,2019-11-07
429,2019-11-12,2019-11-09,2019-11-07
430,2019-11-10,2019-11-09,2019-10-29
431,2019-11-11,2019-11-09,2019-10-29
432,2019-11-11,2019-11-05,2019-10-29
433,2019-11-11,2019-11-10,2019-11-04
434,2019-11-12,2019-11-11,2019-11-04
435,2019-11-12,2019-11-11,2019-11-04
436,2019-11-12,2019-11-10,2019-10-06
437,2019-11-12,2019-11-10,2019-10-06
438,2019-11-14,2019-11-11,2019-11-09
439,2019-11-16,2019-11-15,2019-11-09
440,2019-11-17,2019-11-16,2019-11-15
441,2019-11-18,2019-09-10,2019-04-17
442,2019-11-19,2019-09-10,2019-04-17
443,2019-11-20,2019-09-10,2019-04-17
444,2019-11-21,2019-09-10,2019-04-17
445,2019-11-22,2019-09-10,2019-04-17
446,2019-11-23,2019-09-10,2019-04-17
447,2019-11-24,2019-09-10,2019-04-17
448,2019-11-25,2019-09-10,2019-04-17
449,2019-11-26,2019-09-10,2019-04-17
450,2019-11-27,2019-09-10,2019-04-17
451,2019-11-28,2019-09-10,2019-04-17
452,2019-11-18,2019-09-10,2019-04-17
453,2019-11-19,2019-09-10,2019-04-17
454,2019-11-20,2019-09-10,2019-04-17
455,2019-11-21,2019-09-10,2019-04-17
456,2019-11-22,2019-09-10,2019-04-17
457,2019-11-23,2019-09-10,2019-04-17
458,2019-11-24,2019-09-10,2019-04-17
459,2019-11-25,2019-09-10,2019-04-17
460,2019-11-26,2019-09-10,2019-04-17
461,2019-11-27,2019-09-10,2019-04-17
462,2019-11-28,2019-09-10,2019-04-17
463,2019-11-18,2019-09-10,2019-04-17
464,2019-11-19,2019-09-10,2019-04-17
465,2019-11-20,2019-09-10,2019-04-17
466,2019-11-21,2019-09-10,2019-04-17
467,2019-11-22,2019-09-10,2019-04-17
468,2019-11-23,2019-09-10,2019-04-17
469,2019-11-24,2019-09-10,2019-04-17
470,2019-11-25,2019-09-10,2019-04-17
471,2019-11-26,2019-09-10,2019-04-17
472,2019-11-27,2019-09-10,2019-04-17
473,2019-11-28,2019-09-10,2019-04-17
474,2019-11-18,2019-09-10,2019-04-17
475,2019-11-19,2019-09-10,2019-04-17
476,2019-11-20,2019-09-10,2019-04-17
477,2019-11-21,2019-09-10,2019-04-17
478,2019-11-22,2019-09-10,2019-04-17
479,2019-11-23,2019-09-10,2019-04-17
480,2019-11-24,2019-09-10,2019-04-17
481,2019-11-25,2019-09-10,2019-04-17
482,2019-11-26,2019-09-10,2019-04-17
483,2019-11-27,2019-09-10,2019-04-17
484,2019-11-28,2019-09-10,2019-04-17
485,2019-11-18,2019-09-10,2019-04-17
486,2019-11-19,2019-09-10,2019-04-17
487,2019-11-20,2019-09-10,2019-04-17
488,2019-11-21,2019-09-10,2019-04-17
489,2019-11-22,2019-09-10,2019-04-17
490,2019-11-23,2019-09-10,2019-04-17
491,2019-11-24,2019-09-10,2019-04-17
492,2019-11-25,2019-09-10,2019-04-17
493,2019-11-26,2019-09-10,2019-04-17
494,2019-11-27,2019-09-10,2019-04-17
495,2019-11-28,2019-09-10,2019-04-17
496,2019-11-18,2019-09-10,2019-04-17
497,2019-11-19,2019-09-10,2019-04-17
498,2019-11-20,2019-09-10,2019-04-17
499,2019-11-21,2019-09-10,2019-04-17
500,2019-11-22,2019-09-10,2019-04-17
501,2019-11-23,2019-09-10,2019-04-17
502,2019-11-24,2019-09-10,2019-04-17
503,2019-11-25,2019-09-10,2019-04-17
504,2019-11-26,2019-09-10,2019-04-17
505,2019-11-27,2019-09-10,2019-04-17
506,2019-11-28,2019-09-10,2019-04-17
507,2019-11-18,2019-09-10,2019-04-17
508,2019-11-19,2019-09-10,2019-04-17
509,2019-11-20,2019-09-10,2019-04-17
510,2019-11-21,2019-09-10,2019-04-17
511,2019-11-22,2019-09-10,2019-04-17
512,2019-11-23,2019-09-10,2019-04-17
513,2019-11-24,2019-09-10,2019-04-17
514,2019-11-25,2019-09-10,2019-04-17
515,2019-11-26,2019-09-10,2019-04-17
516,2019-11-27,2019-09-10,2019-04-17
517,2019-11-28,2019-09-10,2019-04-17
518,2019-11-18,2019-09-10,2019-04-17
519,2019-11-19,2019-09-10,2019-04-17
520,2019-11-20,2019-09-10,2019-04-17
521,2019-11-21,2019-09-10,2019-04-17
522,2019-11-22,2019-09-10,2019-04-17
523,2019-11-23,2019-09-10,2019-04-17
524,2019-11-24,2019-09-10,2019-04-17
525,2019-11-25,2019-09-10,2019-04-17
526,2019-11-26,2019-09-10,2019-04-17
527,2019-11-27,2019-09-10,2019-04-17
528,2019-11-28,2019-09-10,2019-04-17
529,2019-11-18,2019-09-10,2019-04-17
530,2019-11-19,2019-09-10,2019-04-17
531,2019-11-20,2019-09-10,2019-04-17
532,2019-11-21,2019-09-10,2019-04-17
533,2019-11-22,2019-09-10,2019-04-17
534,2019-11-23,2019-09-10,2019-04-17
535,2019-11-24,2019-09-10,2019-04-17
536,2019-11-25,2019-09-10,2019-04-17
537,2019-11-26,2019-09-10,2019-04-17
538,2019-11-27,2019-09-10,2019-04-17
539,2019-11-28,2019-09-10,2019-04-17
540,2019-11-18,2019-09-10,2019-04-17
541,2019-11-19,2019-09-10,2019-04-17
542,2019-11-20,2019-09-10,2019-04-17
543,2019-11-21,2019-09-10,2019-04-17
544,2019-11-22,2019-09-10,2019-04-17
545,2019-11-23,2019-09-10,2019-04-17
546,2019-11-24,2019-09-10,2019-04-17
547,2019-11-25,2019-09-10,2019-04-17
548,2019-11-26,2019-09-10,2019-04-17
549,2019-11-27,2019-09-10,2019-04-17
550,2019-11-28,2019-09-10,2019-04-17
551,2019-11-18,2019-09-10,2019-04-17
552,2019-11-19,2019-09-10,2019-04-17
553,2019-11-20,2019-09-10,2019-04-17
554,2019-11-21,2019-09-10,2019-04-17
555,2019-11-22,2019-09-10,2019-04-17
556,2019-11-23,2019-09-10,2019-04-17
557,2019-11-24,2019-09-10,2019-04-17
558,2019-11-25,2019-09-10,2019-04-17
559,2019-11-26,2019-09-10,2019-04-17
560,2019-11-27,2019-09-10,2019-04-17
561,2019-11-28,2019-09-10,2019-04-17
562,2019-11-18,2019-09-10,2019-04-17
563,2019-11-19,2019-09-10,2019-04-17
564,2019-11-20,2019-09-10,2019-04-17
565,2019-11-21,2019-09-10,2019-04-17
566,2019-11-22,2019-09-10,2019-04-17
567,2019-11-23,2019-09-10,2019-04-17
568,2019-11-24,2019-09-10,2019-04-17
569,2019-11-25,2019-09-10,2019-04-17
570,2019-11-26,2019-09-10,2019-04-17
571,2019-11-27,2019-09-10,2019-04-17
572,2019-11-28,2019-09-10,2019-04-17
573,2019-11-18,2019-09-10,2019-04-17
574,2019-11-19,2019-09-10,2019-04-17
575,2019-11-20,2019-09-10,2019-04-17
576,2019-11-21,2019-09-10,2019-04-17
577,2019-11-22,2019-09-10,2019-04-17
578,2019-11-23,2019-09-10,2019-04-17
579,2019-11-24,2019-09-10,2019-04-17
580,2019-11-25,2019-09-10,2019-04-17
581,2019-11-26,2019-09-10,2019-04-17
582,2019-11-27,2019-09-10,2019-04-17
583,2019-11-28,2019-09-10,2019-04-17
584,2019-11-18,2019-09-10,2019-04-17
585,2019-11-19,2019-09-10,2019-04-17
586,2019-11-20,2019-09-10,2019-04-17
587,2019-11-21,2019-09-10,2019-04-17
588,2019-11-22,2019-09-10,2019-04-17
589,2019-11-23,2019-09-10,2019-04-17
590,2019-11-24,2019-09-10,2019-04-17
591,2019-11-25,2019-09-10,2019-04-17
592,2019-11-26,2019-09-10,2019-04-17
593,2019-11-27,2019-09-10,2019-04-17
594,2019-11-28,2019-09-10,2019-04-17
595,2019-11-18,2019-09-10,2019-04-17
596,2019-11-19,2019-09-10,2019-04-17
597,2019-11-20,2019-09-10,2019-04-17
598,2019-11-21,2019-09-10,2019-04-17
599,2019-11-22,2019-09-10,2019-04-17
600,2019-11-23,2019-09-10,2019-04-17
601,2019-11-24,2019-09-10,2019-04-17
602,2019-11-25,2019-09-10,2019-04-17
603,2019-11-26,2019-09-10,2019-04-17
604,2019-11-27,2019-09-10,2019-04-17
605,2019-11-28,2019-09-10,2019-04-17
606,2019-11-18,2019-09-10,2019-04-17
